Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
Motion control;1,00E-06;1000;1000000;0;no;no;3666.954573132446;1605231.2044553105;0.0004235511201962406;1215585.471610125;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;4513.327889155853;1342635.550778835;0.0004989734617149783;2812229.169688584;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;7693.210953888707;1494868.6997871422;0.0006426869345350058;2355664.793137508;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4062.3647181879655;2184674.589160816;0.00040019719555578763;1433149.2185326044;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4724.311566379747;2538737.8852872886;0.0005370417567349681;1471610.7395095462;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;4631.531357863588;3436612.05353475;0.000532503055413565;1596123.9197498446;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5613.584147384667;2384944.464821757;0.0004959016336141182;1403538.4612178332;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4272.8286456038295;1214773.8163354143;0.0006438325086644416;1811248.229376915;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5295.233870579067;2827767.697720511;0.0005070177763826271;1444138.6919036962;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;4310.040895063068;2324760.2487299982;0.00047653779867614363;1838543.840884347;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;7191.132080769631;2019129.401975938;0.0004910980523350235;1123677.619347313;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3856.8183388807497;2711539.3668540516;0.00014698966662125964;1955319.0630749536;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6629.745133839928;3578636.1443127547;0.00047352210660698006;2147184.350658853;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4025.3710954366115;1874006.3690525559;0.00032247362383031216;1311607.3494355776;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3577.7317445867434;1444688.3271478787;0.0004655445726006462;1526088.5502737144;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3832.6288879745453;2884953.583261182;0.0004960278156689189;1873873.7836871468;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2148.392360896582;3770874.891807758;0.0005764349808863726;2577237.821372608;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5731.424310899447;2096590.2541172875;0.0008356567052589558;2758882.5306620896;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3060.7338134797465;2020608.559282202;0.0007241603998791282;1932028.572215214;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4404.027107266922;2114745.3691343283;0.0004982355168568086;2189105.319970382;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6269.742392398339;2299553.7803493566;0.0005931054868416481;1902651.6045369045;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;6215.966240794433;1061019.2907789606;0.0004332546076290145;2812221.7022609375;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2614.6404164905566;2203932.4329352495;0.0005319381894009919;3111020.908787864;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5518.020875954908;2182304.631621586;0.0005356430504880708;2541149.091649157;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;6901.1332215167085;2143953.2313577915;0.0003365906513519371;2290385.2099876124;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;3939.2012901685916;2111336.9883175846;0.00042319556174804155;2294920.14177657;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5856.369951115048;2064185.4002201238;0.0002170986429763315;2088566.656585254;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3095.2245369434004;599123.8842231818;0.0004707592422220781;1492253.9422940088;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;5643.197312569444;1519304.6157609962;0.0004940126287734417;1645288.7911726069;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5219.263723655875;2570572.612185155;0.0004878417653969443;2167987.2291796757;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;6102.301401883116;2726966.2521191863;0.0003330870143093533;1661333.9768373412;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5998.976953800027;1718091.085699444;0.00048669414250541066;1097634.2190961433;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2744.9195646830044;1362317.5446661483;0.0005270276522962998;1865937.8316580895;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5228.065975700197;2477977.3653266802;0.0005769327789265079;928074.685126499;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7421.780588182407;2181890.828423454;0.0005447461508544333;3268339.575816185;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;1358.6828484995808;1918620.83202208;0.00044785575384518467;1622364.0737857535;feMBB;yes
Smart City;0.0;0;0;0;no;yes;6611.882368751132;2574569.5964271706;0.00047637141839821035;1981110.3677372378;umMTC;no
